label,language,cleanedtweet
1.333333333,French,didon forc lol
2.0,French,x doesnt want money
1.2,French,good abym debat zero sleepingfac
1.75,French,go debat also respect one
2.2,French,go  piti want sleep nake tonight
1.2,French,right vote  year elect worst idea project
2.0,French,death sound made post
1.0,French,hot
1.0,French,
1.0,French,🇫🇷rightarrowcurvingleft️ return weekend blue thumb kant omnipres thumbsdown benzem http
1.0,French,yish 🥴thumbsdown long make hadnt use word entk
1.25,French,acab hear 
2.25,French,variat mem becom nip impaldlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfac
2.2,French,batt basebal someth unnecessari crazi idea
1.0,French,tomato diablo  arriv  derni class reveal necromanc  fyng http
1.0,French,dog face boulaymosel bed gendarmeri dog receiv medal nation defen rightarrow️ http http
1.0,French,ahm aidar guédiaway montr today work hand hand http
1.0,French,forget fastest diesel world temp
1.4,French,old boxer confirm want jsp pq stay calm self control
1.6,French,studi level   say 
1.4,French,entir chapter ibrahim log
1.0,French,three renaultnissan strateg error expens cost carlo ghosn http vi
1.0,French,merit
2.8,French,he bizarr popoff x noth boug mem posit bizarr 
1.0,French,yaelah gem amat
2.2,French,humor scale   http
1.4,French,real count
1.2,French,prophet serv sup interest
1.2,French,rather charleboi winkingfac
2.0,French,want want 🤬
1.0,French,alor  samsam mark
1.2,French,hello persist souc hesit preven notr support http
1.0,French,dont know son gengi khan
2.4,French,must deo sure need much
1.5,French,long im come
1.6,French,dont think funni im happi see lol
3.4,French,meum let live alon cant  prefer home
1.75,French,add lord came us pray http
2.6,French,want go internship leav sleep
3.25,French,sure  shouldnt easi turn 
2.2,French,
1.0,French,amsterdam form crack pari destroy
1.8,French,malwar compan
1.0,French,conflict  ukrain  russia narrow link  afriqu http
2.2,French,pir
1.0,French,publish video dubai émirat http
1.0,French,europ must depriv ga petroleum incom said ukrainian ga boss http
1.8,French,mdr respect differ express that
2.0,French,saw opinion trait anti op dan blagu
1.5,French,much zemmour campaign reimburs
1.6,French,joy baccalaur
1.0,French,rugbi end season paul willem http
1.4,French,bizarr
3.2,French,comm take end boss avoid bizarr girl public transport
1.2,French,true reson
1.25,French,dombass massacr ukrainian alreadi forgotten
1.4,French,legitim
1.6,French,happi see poster great z well plac dan littl vill de coach plan near nic
2.5,French,vi even wrestl nt
1.0,French,impress everyday robot peac henc semiexil island seem
1.8,French,merc lot follow today okbuttonthumbsupthumbsupokbutton
1.2,French,state put aid fisherman compens bull carbur pourt
1.8,French,sinc taken tempt
1.4,French,ye well count macron ven sauv seller misfortun 
1.6,French,truth liefacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy
1.0,French,report app
2.0,French,he riv differ
2.2,French,oujda apart mcdonald
3.2,French,first  back
4.4,French,got whine arm
1.0,French, addit mandat
1.8,French,doj insult see  min scen hshjdisk love much
4.0,French,happi birthday babi 🥳🥳redheart️redheart️
1.25,French,war algier awar  algerian govern le ger
3.6,French,look soulmat sinc plaqu libr
2.0,French,superb creation bravo craftsmen creator http
1.0,French,cocapud
1.5,French,oup fatigu say confus excus rectifi follow 
1.6,French,white askip humor
1.2,French,bel journ sun️
1.0,French,sam raimi doctor strang  say readi make film  spiderman   reintegr multiv 
2.0,French,start hash alon happi parti us min chaaaar lago 🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🥳🥳
2.5,French,long time alreadi everyon taken way
2.0,French,ptdr except fan player point name count first name  photo rollingonthefloorlaughingrollingonthefloorlaugh
1.4,French,believ forc
1.0,French,music
1.0,French,pedestrian district danger driver distract
2.6,French,
1.6,French,usual content carlsagan habitud make video sup mario mak  great http
1.0,French,name name name
4.4,French,frérot make first aid muslim emot
1.0,French,zelenski frank  that right   loudlycryingfaceloudlycryingfac
4.5,French,perso pan
1.2,French,post delet benjamin think http
1.2,French,mhd still hypm film aur receiv promo phew  silenc radio
3.2,French,beauti fuck
2.6,French,wash sheet chang redeem
1.6,French,dont see your talk child
1.6,French,wow merc lot droolingfac purpleheart  freebiefriday
2.6,French,im go skip ayak true envi crev
3.5,French,small sweet alarm 🤭smilingfacewithhalo retweet love want photo day upsidedown
1.25,French,new els
1.4,French,well find cute pet sing real racism psycho good
3.6,French,zo im caught 
3.0,French,everyth dua good take guy tomorrow bac inchallah kheir redheart️
1.4,French,jo he stra think
2.4,French,lost famili he hungri
1.0,French,barchart eye take stock form two team  pm match pelou  qrmfcsm http
2.0,French,ye contribut depth fair tour middl well depend contract
2.0,French,done
1.75,French,end first tweet case
2.0,French,say haeful burn pyre
1.0,French,clear level noth envi siecl de luma 
1.2,French,alreadi exist    get ivori tower  
2.666666667,French,tain nich daron stroke old 
1.0,French,check eyebrow
1.6,French,honnêt jcp citi earn today lack confianc see
1.0,French,
2.4,French,aaaah envi make eggplant paper c
2.6,French,love even hate
2.2,French,merc dear presid
2.0,French,talk
1.0,French,semiconductor  someon process stock  denounc carlo tavar http
2.6,French,work piss
3.2,French, stop take head child  enough tell thumbsupmediumlightskinton fraud
2.2,French, ° sent
1.2,French,gen dare take airplan congratul facewithtearsofjoyseenoevilmonkey
1.2,French, dream hublot tab airbu launch dan http design furnitur
1.25,French,pari play well
1.0,French,lyon win penalti whistl hand dehor de la surfac
1.6,French,act explain peopl serv redarrr ordin solut problem informat skullskul
3.0,French,pride shit sometim mute routin bonewithrollingey
1.0,French, substanti case terribl
1.8,French,respect sister
2.6,French,parl better poutingfac
2.6,French,dsl reuf come good luck find one
3.0,French,ok alor pet exercis reread tweet tell precis offen ok smilingfacewithsmilingey
1.6,French,im talk cinema crypt fight huh
1.6,French,like imposs real contact
1.333333333,French,feur 
1.4,French,mtn wait  mlbsspoiler
2.2,French,beauti
1.75,French,communaut arab support thoroughli descend thoroughli
3.4,French,bahahah merc mv bluu loudlycryingfac
1.4,French,final candid respect franc constitut despis presid  macron
1.25,French,furri king king furr suddenli beat  beat 
4.2,French,sixteen love even first name go tweet
1.8,French,nice final littl competit wink face beauti atmospher swiss addit today 
1.2,French,racism form hypocrisi
1.0,French,real 
1.0,French,hi thank zidan zemmour  million addit vot
2.2,French,even tri mdrrr money know could one one time    
1.2,French,hello speak gener man
2.2,French,annick sound  pm us live ghetto http
1.0,French,dint sell dream end nightmar 🫣
2.2,French,’worri 🥺winkingfac
2.6,French,dream
1.8,French,ye
4.0,French,gamedi pet game sunday smilingfacewithhorn • send beauti queu straight photo video   eggplantfir
1.25,French,wash hand solid soap
3.0,French,next fate vacanc croat far beauti
1.2,French,end loudlycryingfac
2.25,French,donarumm bluff told nav
1.25,French,send back bled
3.75,French,oh yeah  paint oil frequent refer
1.8,French,sleep
1.6,French,chang smile face smile eye
2.0,French,it’ cold back…
2.75,French, banan take pop corn dan packag  idea riski
2.6,French,critic big even happen level
1.333333333,French, play sylv  wire  ° lent wire  ° week carêm
2.6,French,mdrrrr afraid loudlycryingfac
3.25,French,even happen tempt time maintain true
2.25,French,one dead goe moment blak jveux hear noth
2.6,French,best film whole temp profit well h
1.5,French,dont even know person put side herr sarkozi
2.0,French,bah sniff think may
1.6,French,shock think renew chain make big menag
1.4,French,dont work facho petain fight
1.6,French,doubl scandal hont
1.0,French,arbitr debil  omfcn
2.0,French,go see hungari pot le priol thread put
1.5,French,addit dont salari cours russ subcurg annea option next year feel better
2.4,French,bore want rp
1.0,French,ch
2.0,French,choic racist one want poorli absolut
1.4,French,jtjr everyth
1.25,French,thank interview  fragtw  franc auvergnesmilingfacewithhalo http
1.0,French,goal error axi plac de chancel go get têt
1.4,French,real program presid take temp madam
2.8,French,noth feel feel use
3.0,French,learn turkish  year later ptdr appar previou format ya boug flash mdr
1.6,French,say corner venu mayb mont saint michel
4.25,French,assum calib dead
2.0,French,anyon disney annual pass 
1.0,French,backhandindexpointingdown http disgust
2.0,French,one gen lolo
1.5,French,okay start end split alway master dan lobbi imagin
1.5,French,  meum valid
1.8,French,imag mandat right rollingonthefloorlaughingrollingonthefloorlaugh
4.0,French,girl girl true complic hesit decept
1.4,French,good sunday afternoon slightlysmilingfac faceblowingakissredheart http
3.0,French,return wood rather photosrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaugh
1.0,French,pure shell sorri   detract beauti great discours 
1.2,French,one best thing magazin
1.0,French,valu franc 
3.2,French,use express reuf mdrr
1.4,French,rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingrollingonthethefloorlaugh ah dir facewithtearsofjoyfacewithtearsof
1.6,French,beauti smilingfacewithheartey
1.2,French,c question lol
2.8,French,remind come
3.4,French, assur tall
1.2,French,merc smilingfac
2.2,French,dont know cor la franc du chnoqu
2.4,French,im afraid dont semstr suddenli anné dark
2.25,French,best unonton universethumbsupmediumdarkskintonethumbsupmediumdarkskintonethumbsupmediumdarkskinton
1.5,French,watch episod moon knight alreadi  classic one much
1.6,French,coconut knock pov ricain messag cach see madam
1.0,French, h may passion cross glori resurrect
3.25,French,that  life sen end haikyuu
1.0,French,live youwithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy intent nay dan nazo histoir understandsr yango te
2.2,French,merc redheart️redheart️ way well attempt across rout
2.6,French,alreadi debat ’aitr tweet flemm de recommenc
3.75,French,call neither fact loudlycryingfac http
1.6,French,becom annoy
1.25,French,soon chain festiv well benefit success  year alon homm noth
1.5,French,yepp bad often listen languag crypt
2.6,French,mdr lack wsh respect
1.0,French,best age
2.4,French,souc way frérot
4.25,French,tank languag go gag
2.6,French,waahhh real life mean  per month
3.75,French,want afak sfenj perfect
4.0,French,contr health pink sinc day rat casquet
2.25,French,hb legend
3.6,French,life therefor continu jam titan joke
1.6,French,alreadi feel seum arriv
1.0,French,case make tendenc henc inert rest scotch affair liberti presid
3.0,French, want joy
2.0,French,read articl hope mine instructor http
2.75,French,sksj c littl deliri explain
1.4,French,temp one push lie
1.6,French,time tell happi blank
1.8,French,tranquil noth
3.6,French,first two gar think found husband  smilingfacewithheartey
3.25,French,alway present want
2.0,French,cushion  hous  knead  http
1.6,French,pir everyth
2.4,French,addict lol im glad everyon look  elect
2.2,French,frustrat
2.25,French,alreadi truk e max moch may noth
1.0,French,ye ye
2.8,French,j good stand evid
2.8,French,weekend  sunday longer
2.8,French,good glfkfkfk
2.75,French,thank recommend
1.6,French,bh alreadi come mdrrr go pick plac hi
1.2,French,exceed elfo
2.75,French,sum left pay th park
3.2,French,go send bg 
1.75,French,funni ptdrrr
2.0,French,pakistan malagasi hun akpamagbo salair meum
1.4,French,horror facingscreaminginfear facescreaminginfear
3.333333333,French,time g fear kon break mutual avc
4.6,French,jss happi boyfriend
2.0,French,support barc mess
1.0,French,direct 🇬🇧 attack manchest knife polic announc terror act http
3.4,French,g given video girl mm eyesight lol
2.2,French,facewithrollingeyesfacewithrollingey death
1.6,French,verg flashmob
4.5,French,envi good bit nippl come  http
1.0,French, anadoc problemat underemploy question http
2.0,French,testimoni jérémi gay jet jet street refug http
2.75,French,recov vocal hi
1.8,French,mdrrr well given c lazi make lake lol
1.0,French,tomorrow prioriti health publish svpp
3.0,French,  b • ω • b
1.2,French, broom think millionnair
1.25,French,hope
1.0,French,loudlycryingfac
1.4,French,good even
2.2,French,dont
1.4,French,franceargentin ct beauti blue match know noth
1.8,French,mention cousin brother must radianc truth
1.2,French,littl nostalg http
1.8,French,want
1.25,French,start doubab
3.8,French,owi come backhandindexpointingrightbackhandindexpointingleft
3.2,French,rue jean mac thought see video mv
2.25,French,dont think
1.0,French,think   centimet neig home say  lund  degr
1.0,French,minor dict common norm alreadi late democrat http vi
2.4,French,real life listen bigflo oli grav fact »damn  year say
3.2,French,play
1.4,French,comparison high level
1.25,French,time ninho lost feat contain guitar guitar http
2.0,French,funni man
2.0,French,take
1.5,French,want make apron facingwithtearsofjoy well rollingonthefloorlaugh http
2.4,French,grav 
3.2,French,cool addit ptdr put grav bad medium section racont parent
2.0,French,absurd find also serv cultur cancel
2.0,French,cute pre block hi alreadi hahah
1.2,French,know derri notr busi plan deceasedproduct fart heart http
1.6,French, take indign      say  indign  make better understand human 
1.6,French,im talk distribut styl
1.25,French,total inaccept much inept part say newspap unbearablepoutingfac
1.4,French,apart much death practition fontel system  cedricchouviat http
2.0,French,hideou
1.5,French,ye
2.8,French,give everyth access old count mabimbo remind password email email ugh
3.25,French,give make regular enough 
1.2,French, hello wheel  happi beauti  tree symbol vi  zenattitud  tradesymp  leaguedesoptim http
2.0,French,ok found goal vi go bor bor desertisland
2.0,French,thank much celest smilingfacewithteareyesredheart️foldedhandsmediumlightskinton
1.25,French,facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy want make us movi 
3.2,French,gar put
2.4,French,one last dodo wait beauti see twitt fam auss auss comm ça🤍  bellcau
2.25,French,well  point make pir
1.2,French,understat say 
1.0,French,record gang  mpplaneteschalleg instead same redtriantpoivendup
2.2,French,bad
1.0,French,joystickfacescreaminginfear ouch begin fail  cuisineroy dan min  http  wizebot  twitch  twitchfr
1.4,French,think concert si loudlycryingfac  sia
3.0,French,oh bordel  hurt     loudlycryingfac
1.4,French,dariu garland yeah im object alor haha objer zion
2.6,French,music “blackout” melt littl heart sneez face
1.0,French,otherwis first zenith c ’wa  year ago sparkl   tlse  cestbanpourv
1.0,French,th birthday ’amd ser honor special ryzen radeon vii http piec
1.2,French,mediapart longer newspap meum polem jug doctrinair dommag
4.6,French,well take littl douch put nice dan bed
2.8,French,tri maximum thought allah see share alon inshallah
3.2,French,great guyanes sea best say true
1.75,French,rat someon
2.4,French,sail say lol
1.2,French,american star artifici intellig want make toulou global refer  toulou http
2.333333333,French,tweet tere hang epoch direct smoke forbid
3.4,French,often stop know day apart wait death
2.8,French,tomorrow look oav lauryn
1.666666667,French,cam pilleux blanch
3.2,French,celib
3.6,French,pot said especi babi cri lol go fait foutr wesh
1.0,French,coach de sport memm startup sme boxinggloverugbyfootbal  manag http http
1.6,French,long jsui mem date
2.2,French,jaim fair countri abl sleep  hour
1.8,French,one say callmehand  sug
3.0,French,lol want tell answer  day
4.4,French,girl post twerk old pot expect everyth except minc alor
2.2,French,useless lie read well eye
2.0,French,good courag jol mem cern
2.4,French,ptdr know know confusedfac
1.2,French, temp jol
1.0,French,“in franc justic anim »the truth death hair cat http vi
2.4,French,interest nice that alreadi
3.6,French,continu merc théophil afraid fell mdrrr mercii valouch redheart️
3.0,French,sai fell love boom cut barb psq jealou think put oyster castor
1.75,French,ptdr reuf cat exist dan ufc
1.6,French,wonder go put cook prepabl microwav know car put oven
1.5,French,start everyth believ yen fuck empir soon
1.25,French,mdrrrrrr sacr revolt
1.4,French, null amateur  xd jem tournament
1.4,French,done  
2.4,French,larg round trip detour get gueult bug lunet skullandcrossbon 
1.0,French,go ahead
3.0,French,pk genr dont guy miff footbal pro lol
2.5,French,film let go mdr mech loudlycryingfaceloudlycryingfac gar tacl girl real suck c grav
3.0,French,wesh dont sleep genr wake middl night gorgeu 
2.666666667,French,qd said old tast c real vrmt guy less good tast terr
2.0,French,well realiz facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyloudlycryingfac
2.6,French,tile shirt carr bro
1.0,French,albert bernard bongo must rais pantheon great frank resist fought african independ
3.8,French,complet tar cel parol suffer pervert narciss
1.666666667,French,loudlycryingfac
1.0,French,merci
1.8,French,clip obviou visnag courtyard youtub tv salon
1.5,French,yop know wors babi puppet  
3.0,French,score snap increas much dont like
2.25,French,idea sleep srx wet hair
3.75,French,ayai ex lyc naughti sit
1.75,French,mine abandon
1.4,French,franc call insul gourd plu big tass
2.0,French,elit genr tweet elect known support facewithrollingeyesfacewithrollingeyesfacewithrollingey
1.0,French,premier bet pag tenni zverev enorm match cash follow next bet whiteheavycheckmark
2.4,French,jte calcul mm cowardli
2.0,French,donat look bpl mdr
1.6,French,talk money
1.2,French,happi foldedhandskonbin novel polem souiss de houellebecq adapt cinem http vi
2.0,French,rule much good dec
1.4,French,goat
3.0,French,person h c dead duti
1.6,French,better boob editor
2.0,French,pq galley find film vo
1.2,French,russ court teacher goe parl russ http
2.5,French,setien affair fat right tsp
4.4,French,one day go cours forgotten yet right day
1.0,French,word prefect lallement worn take hierarch demonstr
3.25,French,sent mess dm think dm
1.5,French,say alreadi falcon
1.25,French, dam extrem right  friend fascist http
1.0,French,disappear assassin newspap dcpj announc progress open survey http
2.0,French,tqt understand otherwis alway  nd person doubl facewithtearsofjoy
1.4,French,best publiqu satisfi custom  bill gat
3.6,French,tag  catfacewithtearsofjoycatfacewithtearsofjoycatfacewithtearsofjoy
2.333333333,French,amemmmmm
2.0,French,sorri say facewithoutmouth jp
2.0,French,th sf alor first  class cryingfac
1.25,French,decor beat recent austral
4.0,French,im bed know
1.8,French,memum  know wesh
2.0,French,know siest
1.0,French,none good ortho error inher tweet
2.6,French,denti
2.0,French,impress  pm possibl
1.0,French,everyth due govern complet well ballot world manichean
2.6,French,cours
3.4,French,mdr must take nippl two hand jet madam water
2.0,French,pir despit debr alway want mirror reflect notch personfacecalmingmediumdarkskintone‍femalesign️
4.2,French,hate
2.0,French, ikonencoreinseoul 
1.2,French, want hear sound let go way youmêm  kg dürckheim  http
2.25,French,tent hand fuck viz chouf se diam legend pass go
2.8,French,ye audi
2.6,French,jdoi ménag
1.6,French,dont hang dragon get zero damag 
1.2,French,peloton execut captur http
2.2,French,realli want go see dam blanch
1.5,French,dont think filthi second round arriv pen pass
1.0,French,wednesday februari   current 
2.2,French,loï http
1.0,French,im smilingfacewithopenmouth    coldsweatsmilingfacewithopenmouth    coldsweat
1.0,French,act see depriv
2.0,French,japanes offici 🥴
3.2,French,imagin live big learn negoti dog
1.5,French,mourn say project smilingfacewithhalo
1.0,French,find choppa
1.0,French,merci
3.4,French,c grav jte still eat
2.0,French, photo stori ig group http
1.0,French,short distanc longu 🤨
1.75,French,piston racail done sweep
1.0,French,peac manag manag  pay becom digit hr http  digitali
1.0,French,
2.0,French,good yeah found dokkan put
1.4,French,realli 
1.6,French,even dont see disappear surfac
2.4,French,fact thought dont realli know want come
3.2,French,x  saturday even press dorm facewithtearsofjoyfacewithtearsofjoy j ’essag
2.2,French,courneuv feast account c bavur vlg
1.2,French,fact never win freebet  freebet winamax lejackpot
4.4,French,big breast
3.0,French,didnt progress chang last time
2.5,French,ptdr believ great cult
2.6,French,hurl destitut 
3.6,French,personraisinghandlightskintone‍femalesign️ alway fall asleep speak  lrt
2.2,French,oh mess im deg
3.6,French,hurri nooneund eighteen coronaviru arriv facewithoutmouthsosbutton
3.0,French,star moifaceblowingakiss
2.75,French,swear still partial morn still wrote littl j ’i marr mdddddr loudlycryingfac
2.2,French,noooon true cool loudlycryingfac everyth heart facewithrollingeyessmilingfacewithhalo
2.0,French,lol alway regular
4.2,French,dan  day  year 🥺
1.6,French,cooper hostil
2.8,French,guin dream pay
1.2,French,return sonda cach
1.75,French,allon ten teacher
1.0,French,man movi move dog dan la ru http
1.0,French,everyth come time know wait
1.2,French,question aven jon valancuna said put memph top list summer eye http
1.0,French,leipzig hot 
1.0,French,chines park make lot temp
1.5,French,imag may contain outdoor http
3.6,French,tarik even readi love wallah
3.2,French,gg bienvenu dan la f 🤭🤭🤭🤭smirkingfacemirkingfacemirkingfacemirkingfac
2.0,French,what go
1.0,French,bcp long phew
2.6,French,excel okhandmediumskinton wait weight   day smilingfacewithsmilingey
1.4,French,alway calibr dan lclub refr
2.6,French,smilingcatfacewithopenmouthpencil  hmm dan  http
1.0,French,paulin sarah
4.5,French,ye manou bit good
3.25,French,leav sort
3.0,French,alreadi done bg
1.8,French,manif gardeni beauti tender flower smilingfacewithheartey
2.6,French,welcom princess
3.0,French,im go sleep around  im sure
3.8,French,like defin meter facewithtearsofjoy
2.0,French,jam dîn ursul stress http
2.75,French,att send screen dm masterclass
1.8,French, choic fair  know see price law price cred  cred less elev
2.0,French,fdp gvt
2.2,French,next hotel vacanc villag guess  lou vuitton etc ptdrrrr loudlycryingfac j ’go mix set foot
1.0,French,redcircl  rest first divi reinforc link territori two clear object notr univers  
3.8,French,bah jsp make effort put togeth find well
2.5,French,look xd
2.6,French,plag poutingfac
2.0,French,gold franch th san frit interfer carn oim
2.0,French,came dm
1.25,French,mdrrrr real life
2.2,French,aah better like deh redheart️redheart️
2.4,French,liar
1.6,French,sup thread true interest tesla thank unavolv info morocco
2.8,French,leav wesh loudlycryingfac done
2.8,French,flemm make feel guilti true make effort jam girl speak bad refer direct contain
1.0,French,inteven f chambon director academ inform evoc de differ servic belong st nd circl
2.0,French,question  prior rather beg tweet certain  
1.75,French,jam de la vi jam ooooo great jam dont like tomat alreadi ketchup less
1.0,French,last time contain sheffield hrooswords️ bluecircl  shumc  manciti http
1.25,French,coincid  reynder certain brilliest homm polish class
2.0,French,h get sport bet  right mang think
2.0,French,come delet count mod pure c’ farm olal loudlycryingfac
1.5,French,best thing chang ser blu pet http
2.0,French,merc nice smilingfac
1.333333333,French,bah sylvinho eh exploit potenti
3.2,French,thank  te bouquet sublim bouquet dizzi
4.2,French,félix big origin woodman sea go
2.8,French,oupsss alway forget unesmilingfacewithopenmouth    coldsweat  femm
3.25,French,dri ok ali princess stp
2.75,French,zindav prison your badli coupl word want noth say comm
1.25,French,new audi much reston right path
1.0,French,flagr del de coviddress editor http
2.25,French,templ muslim wish meet frank good approv carêm thumbsupthumbsupthumbsup
1.8,French,true person believ worst start anné possibl
1.333333333,French, wish employe  bother anyth good bad luck viv end transfer window
3.0,French,free avail lign want  
2.4,French,dont blame play simpl roman grand frer
1.8,French,like content frérot kiff rightfacingfistlightskintoneleftfacingfistlightskinton
1.0,French,european playstat stor updat octob   http
1.6,French, beauti 🥺 http
1.8,French,mrc grâc
1.0,French,manifest accus didi andrieux violent polici complaint post http
1.6,French,took pictur 
2.0,French,even big night still
3.6,French,press live best life nan
4.0,French,youv long time sinc success blue hair fill
2.5,French,smoke good joint far away
2.4,French,ba resourc case park excus flexedbicep
2.8,French,ye lâch la bel kelli
1.75,French,plan erad
2.6,French,c rav  🥰🥰 ptdrrrr
1.8,French,lik start pack stupid
2.4,French,oh eh lev omg eh
1.25,French,islam coronaviru muhammad http
3.4,French,girl valid ptdrrr
2.0,French,mad oof jungkook sentil confet brief photo beatingheartbackhandindexpointingrightlightskintonebackhandindexpointingleftlightskintonebeatingheart
1.25,French,ah luxur 
1.4,French,seriou cho start  
2.333333333,French,grav facewithtearsofjoy
2.6,French,take ye take
1.4,French,st minist  other shake crash
2.0,French,hellosuiv best youtub concern red dead onlin
4.0,French, month sépar smilingfacewithsmilingeyesfacewithtearsofjoy🤪rollingonthefloorlaugh
3.75,French,littl forget ecol think 
3.4,French,parlia father make tapin highway sell ass  euro pocket red
1.0,French,one etc    
1.0,French,satisfi see talent neezingfaceneezingfac
3.5,French,
1.75,French,esper wsh
1.6,French,dont tri say opposit know serv fals
2.25,French, sansboit hard believ
1.0,French,critic realiti must also accept other alway compliment
3.25,French,tortu longer saddl endless happi new famili daisen scofield http
2.0,French,look episod boruto noth fair accomplish mission
1.25,French,loudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingfac true ptddrrr
1.8,French,say someon hypochondria alor viru histor arriv pari make scare
1.6,French,vbuck balanc new year
2.2,French,look like pet mayombo
1.75,French,pitchi pitch piegfac
1.8,French,poor cant place one
3.666666667,French,forgotten news pap alobak pepl first eeeeh kangel biso kabil eeeehh
2.25,French,   
2.2,French,love sport gener  beauti smilingfacewithsmilingey
2.2,French,rollingonth floor laugh like know cong mat look 
1.0,French,accord nicola mahut prize money st round ser player
2.0,French,ask learn histori cameroon
2.0,French,lol
2.0,French,like increas  € net per month  increas year  € net 
2.8,French,love
2.0,French,far
1.75,French,san network love ser mon tordu
1.0,French,tropic color  music humor consciou gene april   http
2.8,French,make person confianc
2.5,French,auss mtn cau dtoi
1.0,French,talk arab iran alor pick lik say one merd
1.75,French,tchieuu rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaugh
4.2,French,vrm felt guilti left hous night pauvr beb
3.2,French,front wait  littl bourgeoi rat forget everyth jul
3.0,French,bunch cho stop goinfr chocol bad without part
3.2,French,look hajim iwaizum rightlayingmagnifyingglassgrinningfacewithsmilingey one gauch http
1.5,French,temp pass cicatr eras
1.0,French,maghreb fav dont understand http
2.0,French,talk
1.0,French,ué ué ué ué thinkingfaceinkingfacethinkingfacethinkingfac
1.6,French,avesnoi zon sinistr other come easi abrut
2.0,French,imagin whole gar head 
3.2,French,lot thing say lot peopl dare 
1.75,French,im
3.8,French,she clear profit expect  fuck tchiiip unamusedfac
2.0,French,sinc come mediapart allow doubt object subject 
1.4,French, continu make bi  mani franc reluct  gest barri  fac http coronaviru
2.75,French,good vasi rt fav jte vann free
3.0,French,miss
1.6,French,drain true sect lrem expressionlessfac
1.5,French,mdrr power feminaz
2.0,French,well festiv often like  go san fum trql
1.4,French,part distribut blue white leaflet jmj  renaiss
2.75,French,fun lentil footbal lol
1.0,French,clear must direct park coach far bright effect
1.6,French,chain
2.8,French,white thing nose grin face
1.0,French,sell island yeu station born alert sm polici http  iledyeu  yeu  vend
2.0,French,truth
1.25,French,messag de servic dan train plane look screen other travel risk make strong spoil
1.0,French, episod make friend  koh lanta
4.0,French,tweet target ill love serious
3.2,French,lot thing love dont say messag receiv thumbsupmediumskinton
2.6,French,jungkook favorit cover cover
2.8,French,jsui explod englishman bar jsui anneret dir  fuck lif fuck lif  mdrrr big mood
2.5,French,reflect great suffer emoutr  
3.25,French,job offer cherch nanni  pmsem puteau  children  year  year  year puit http
3.4,French,jam speak much person track tweet music styl asu noth say
2.0,French,pleasant ahahah tell right author face itwithtearsofjoyfacewithtearsofjoy
1.0,French,video  yellow vest  matraqu injur têt besançon open investig http
4.6,French,want exchang nude
1.0,French,municip nic author michael jackson nic  sign la pétit http vi
2.0,French,hello everyth everyon twitto wish good saturday kiss http
1.6,French,yeah two dan psi agenc
1.2,French,everyth good perfect exemplari  see thinkingfacexclamationquestionmark️
1.75,French,answer stuk
1.6,French,pretti much http
1.666666667,French,remov absorb nutr donat dam natur direct traver te por
1.4,French,agre still check thing ’i less dear dan 
1.0,French,urgenc rasputin polar lock côte dazur http vi
1.0,French,white dan  http
3.2,French,friendi mess like
2.2,French,go 
3.4,French,tomorrow receiv color
1.0,French,mdr nisk said okay »a cavan en mod big set
2.75,French,relax maintain hah
1.75,French,see mingl
1.25,French,greed lot
2.0,French,hello frank nice day smilingfacewithsmilingeyesfaceblowingakiss
2.0,French,know mine il march tjr eh
1.0,French,nation block januari   macron depart
1.6,French,happi new year health hope  happi http
1.0,French,mang authen describ without detour daili life worker heart fukushim central http
2.4,French,po  winkingfac
2.0,French,haha put wind fuck king
1.25,French,enough equiti food ligu  open tour lol
3.75,French,jte graill purpleheart vien dm first prod ever
1.0,French,creat uber model around wage interview director gener uber franc http
3.4,French,take cachet
1.0,French,loudspeak start liv redcircl  pcbuildingsimul http  wizebot  twitch
2.0,French,that good competit dont v buck
2.6,French,find midnight often insomni
1.2,French,obviou voyon
4.8,French,new princess dan famil bienvenu zo 🥰babymediumlightskintoneredheart️
2.4,French,muslim gneu http
3.4,French,person 🥺
2.5,French,im still dan glk bed 
2.6,French,imit call pray handl irrespectu come make jump snap bwmbref http
3.2,French,send  mythic snap histori maël
1.0,French,damn episod  station  gross chialad
3.2,French,go ask studi answer prep hec rather esc pau
2.4,French,jaim much stylist corner mode open vest better put pair etc
2.5,French,mean degrad beauti way
2.25,French,dan exact month birthday facesavouringdeliciousfood
2.4,French,clear gard calm envi broom
1.0,French,extern pass foot appli must follow wearyfacefacewithtearsofjoy
1.4,French,dan ninho splendor
2.0,French,possibl receiv look excel
2.8,French,aieee courag vrmt togeth one
1.0,French,evil galler  http
1.8,French,tell saw film  avengersendgam http
1.4,French,forgotten someon cho http
3.0,French,ylan guy made big alor want well
1.5,French,put cooler liquid engin oil tank
